Task,Preprocess,Request,Download,Result Path,Praprocess
Open Danamon,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
Open Generali,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
Open Kalog,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
Open LSIN,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
Open Smartfren,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
New Smartfren,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
RT Danamon,True,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\Update Ryand 020725_6408414.csv,False
New Danamon 00,False,True,True,C:\Users\DELL\Desktop\ReportApp\data\apex_downloads\SLA0_Y_NA_81635700_250701_250702_8392443_8392443.csv,False
New Danamon 01,False,True,False,,False
New Kalog,False,True,False,,False
New LSIN,False,True,False,,False
